name,Return,α,β,σu,σr
وانصار,-0.2772002772002772,-1.4318745423972654,0.29373743939908714,7.982066538434223,8.179446304249257
وايرا,5.436708860759493,6.773864352765621,0.4450099646650566,30.683109611634535,31.19943348142097
وايران,5.234158117079058,1.0862913421206195,0.5721627682597081,18.467887540940016,19.45463045239912
وبانك,12.849509269356597,-0.7859035527659637,0.969749758427371,10.759786752495318,13.845342956730969
وبرق,38.28077832333152,5.436513248126039,1.2694094740974091,26.65956336879539,31.676234589247514
وبشهر,18.290123456790123,-0.017198447100940484,0.7831891763198653,12.939399036746083,14.716492609535843
وبصادر,3.780388151174668,-0.24440764566362877,1.0184700072375472,9.928864332953427,13.950393128106237
وبملت,4.669291338582677,0.393834429502936,0.8379385129621254,8.219502165555786,11.206276552880137
وبهمن,14.280685061845862,-1.6615569039423776,1.1948679660568478,11.86659247589861,15.913230278859745
وبوعلي,25.122994652406415,-0.6110159927801376,0.9605212493285051,11.276080444092324,14.121670947183869
وبيمه,3.391891891891892,-0.548228449645928,0.5801870560394122,15.286960867327476,16.148658778053896
وتجارت,1.7335375191424196,-0.10843385241849257,1.0577300967621104,9.931883866063975,14.053307906560608
وتعاون,5.54646017699115,2.2553758615750263,0.35665615841116244,15.094469880573826,15.632150823333777
وتوس,22.524115755627008,0.11858448266446914,0.8776609452681836,16.416906292993808,18.1619130088672
وتوسم,14.539325842696629,-1.3783528595810732,1.0159467367628805,11.369421179233099,14.515441906317216
وتوشه,19.454545454545453,0.4487523118062813,0.7463020665679054,11.110684490751543,12.934848116195617
وتوصا,18.97142857142857,-0.6486811018204709,0.9336905416695179,12.240663587912339,14.76902981619765
وتوكا,11.027027027027026,-1.1947588617197498,1.0667479864385083,13.108110660192633,16.191076382052948
وثخوز,36.581,10.933051128676945,-0.31562526780121264,35.33016837660794,35.54131284450576
وثنو,8.878163625662154,3.393765876666547,0.4990051438464586,19.73345332616986,20.51680566530799
وثوق,10.662222222222223,4.735046522057367,0.18090054445720136,24.821990872165685,24.906977533576047
وجامي,12.966666666666667,5.5419057701873795,0.16520661796889827,30.285418592033814,30.356138361834606
وحافظ,21.566830745929572,6.072262341582041,0.5635306454742662,26.184465482386607,27.25439308536907
وخارزم,10.101905550952775,-1.0709610532779055,1.0057206508553935,13.130579046712445,16.779013005922664
وخاور,4.95190380761523,1.0402690721794126,0.3618616303038467,10.144767765491869,10.931039070186925
ودي,14.819526627218934,0.011168684005107454,0.7713917211613897,13.134746423766847,15.094535708997485
ورازي,14.299,1.261844715528388,0.5899864570649523,19.103738721688277,20.21019409989101
ورنا,9.283822138126775,-1.5363312699522351,1.5364241079073293,14.004830212002581,19.660864323516382
وساخت,41.78215223097113,0.6367907721636198,0.8351620931677375,15.96827540452396,17.606226729817976
وسالت,3.156,0.9725159302328384,-0.04722426996603663,6.907026768201996,6.933648034966626
وساپا,10.59,-1.847646961724905,1.4819601195156038,16.2686116192913,21.264395702733758
وسبحان,5.801071667782987,0.6844707293329649,0.6284285493003812,10.859950637446095,13.157450445426758
وسديد,11.141794514179452,4.1277007875360265,0.7378330718066549,22.85187869583125,24.249115375723573
وسرمد,3.265738899933731,3.55104734658548,0.183764943781103,16.012033779517928,16.142135968571704
وسكاب,2.6678374310085298,-0.03424535492832689,0.7905798111843899,10.32508108745858,13.268128001052583
وسنا,3.404191616766467,0.25605710051432795,0.9797028090769975,17.10362604981699,20.190629197963734
وسين,23.243434343434345,1.8074495323050863,1.0189939493292155,17.926521194435573,22.167124386131523
وسينا,12.012512030798845,0.3133794374332217,0.6902892354525414,11.569171312663853,13.178688538302039
وسپه,18.27654609101517,-1.4938868733418587,1.0411820533401395,8.629825135705275,12.641002998755827
وشمال,67.23717948717949,2.6473501159443615,0.7067957727711947,19.40110640456062,20.51265783451859
وشهر,2.6770833333333335,0.7996087476572422,0.7767111444095751,13.936296047144262,16.75544689670753
وصنا,10.177062374245473,-0.6554569631030084,0.7914736238150857,12.496721673077667,14.32617341589921
